A/C REG,Flight Airport Arrival,Created Date,Number,Location,Text,Action Latest Text,External Reference,Leak Location,Findings,Action Latest Signature Date,Resolution Time,latitude,longitude
A6-BLH,AUH,2024-07-23 19:38:07.750,A6-BLH002128-001,Galley G2F-1C,"DURING DESCEDING, R2 & R4 GALLEY FULL OF WATER"," R2&R4 AREA CLEANED AND INSPECTED NIL LEAK OBSERVED IN BOTH GALLEY ,  SUSPECTED WATER CONDENSATION FOOD CARD ",80471789.0,Behind carts,Condensation,Closed,,24.4409181,54.6377049
A6-BLH,AUH,2024-07-23 19:38:07.750,A6-BLH002128-001,Galley G4A-1R,"DURING DESCEDING, R2 & R4 GALLEY FULL OF WATER"," R2&R4 AREA CLEANED AND INSPECTED NIL LEAK OBSERVED IN BOTH GALLEY ,  SUSPECTED WATER CONDENSATION FOOD CARD ",80471789.0,Behind carts,Condensation,Closed,,24.4409181,54.6377049
A6-BLE,AUH,2024-07-21 14:05:58.142,A6-BLE001900-003,Galley G1F-1C,THE WATER DOES NOT DRAIN FROM UNDER THE DRAWER. WATER LEAKED INTO THE CABIN FLOOR FOR TAKE OFF. ,ICE DRAWER 2A1C11 WATER CLOG CLEARED IAW AMM B787-A-38-31-21-04A-280A-A REV 143 DTD NOV 23,80471789.0,Ice Drawer,Ice Drawer drain clogged,Closed,,24.4409181,54.6377049
A6-BLJ,AUH,2024-07-16 02:43:56.613,A6-BLJ001973-003,Galley G1A-1C,WATER LEAKAGE AT FLOOR LEVEL AT CART STOWGE 1A1C10,"INSPECTION C/OUT , NIL LEAK FOUND",80471789.0,Behind carts,Nil Leak,Closed,,24.4409181,54.6377049
A6-BMH,AUH,2024-07-15 18:34:39.673,A6-BMH002148-001,Galley G1F-1C,LEAKING EVERYTIME IT IS OPENED. WATER KEEPS ACCUMULATING INSIDE THE DRAWER WHEN THE ICE MELTS.,"C/OUT INSPECTION THERE IS NO LEAK,FOUND SATIS!",80471789.0,Ice Drawer,Nil Leak,Closed,,24.4409181,54.6377049
A6-BMD,BKK,2024-07-11 17:45:20.414,A6-BMD002197-003,Galley G1A-1C,R1 GALLEY FLOODING WATER DURING TAKE OFF.,"PERFORMED FWD GALLEY INSPECTION IAW AMM DMC-B787-A-25-31-00-02A-311A-A, REV.150 (30JUN2024), NO SIGN OF WATER LEAKING. PLEASE, OBSERVE FURTHER.",80471789.0,Behind carts,Nil Leak,Closed,,13.6818766,100.7485803
A6-BLQ,AUH,2024-07-09 19:20:37.571,A6-BLQ002052-001,Galley G4A-1R,LOT OF WATER LEAKAGE DURI GTAKE OFF SND LANDING FROM BEHIND THE CARTS. ,INSPECTION CARRIED OUT AND AREA BEHIND CARTS CLEANED .FOUND SATIS. IAW AMM DMC-B787A-25-32-00-27A-32A-A REV147 31MAR2024.NIL LEAKS.,80471789.0,Behind carts,Nil Leak,Closed,,24.4409181,54.6377049
A6-BLP,LIS,2024-07-09 06:43:26.674,A6-BLP001988-004,Galley G1F-1C,WATER LEACKAGE DURING TAKE OFF AND LANDING.,"AREA INSPECTED WITH NO LEAKS FOUND, CLEANED OK.",80471789.0,Behind carts,Nil Leak,Closed,,38.7809542,-9.1319006
A6-BMJ,VIE,2024-07-09 04:50:02.672,A6-BMJ000587-003,Galley G4A-1C,WATER LEAKING BEHIND ALL THE STOWAGE COMPARTMENT ,CLEAND AREA ON GRD FOUND NO LEAK,80471789.0,Behind carts,Nil Leak,Closed,,48.1049967,16.5848987
A6-BLC,AUH,2024-07-04 15:09:35.255,A6-BLC001863-003,Galley G1F-1C,WATER IS LEAKING HEAVILY FROM ICE DRAWER IS R1 GALLEY,GALLEY ICE DRAWER DRAIN CLEANED IAW AMM B787-A-38-31-25-00A-258A-A REV 017/ 31OCT22,80471789.0,Ice Drawer,Ice Drawer cleaned,Closed,,24.4409181,54.6377049
